Дог. Ипотека (9) - Кирилл Т. Е.
Сумма - 7500000, Процент - 2
Итого - 7650000
Дата                Сумма

09.06.2023          127500
09.07.2023          127500
09.08.2023          127500
09.09.2023          127500
09.10.2023          127500
09.11.2023          127500
09.12.2023          127500
09.01.2024          127500
09.02.2024          127500
09.03.2024          127500
09.04.2024          127500
09.05.2024          127500
09.06.2024          127500
09.07.2024          127500
09.08.2024          127500
09.09.2024          127500
09.10.2024          127500
09.11.2024          127500
09.12.2024          127500
09.01.2025          127500
09.02.2025          127500
09.03.2025          127500
09.04.2025          127500
09.05.2025          127500
09.06.2025          127500
09.07.2025          127500
09.08.2025          127500
09.09.2025          127500
09.10.2025          127500
09.11.2025          127500
09.12.2025          127500
09.01.2026          127500
09.02.2026          127500
09.03.2026          127500
09.04.2026          127500
09.05.2026          127500
09.06.2026          127500
09.07.2026          127500
09.08.2026          127500
09.09.2026          127500
09.10.2026          127500
09.11.2026          127500
09.12.2026          127500
09.01.2027          127500
09.02.2027          127500
09.03.2027          127500
09.04.2027          127500
09.05.2027          127500
09.06.2027          127500
09.07.2027          127500
09.08.2027          127500
09.09.2027          127500
09.10.2027          127500
09.11.2027          127500
09.12.2027          127500
09.01.2028          127500
09.02.2028          127500
09.03.2028          127500
09.04.2028          127500
09.05.2028          127500

